Input First                 Input Second                MergeTime[s]                SuccesiveAddTime[s]         
coriolanus.txt              cymbeline.txt               0.00067                     0.00211                     
coriolanus.txt              othello.txt                 0.00061                     0.00197                     
coriolanus.txt              titus.txt                   0.00058                     0.00168                     
coriolanus.txt              much_ado.txt                0.00049                     0.00134                     
coriolanus.txt              1henryiv.txt                0.00062                     0.00182                     
coriolanus.txt              merchant.txt                0.00057                     0.00150                     
coriolanus.txt              macbeth.txt                 0.00057                     0.00155                     
coriolanus.txt              john.txt                    0.00060                     0.00169                     
coriolanus.txt              2henryvi.txt                0.00067                     0.00201                     
coriolanus.txt              2henryiv.txt                0.00066                     0.00201                     
coriolanus.txt              henryv.txt                  0.00073                     0.00227                     
coriolanus.txt              merry_wives.txt             0.00057                     0.00157                     
coriolanus.txt              midsummer.txt               0.00068                     0.00185                     
henryviii.txt               3henryvi.txt                0.00080                     0.00200                     
henryviii.txt               twelfth_night.txt           0.00068                     0.00191                     
henryviii.txt               romeo_juliet.txt            0.00069                     0.00198                     
henryviii.txt               lear.txt                    0.00076                     0.00228                     
henryviii.txt               hamlet.txt                  0.00088                     0.00268                     
henryviii.txt               measure.txt                 0.00067                     0.00175                     
henryviii.txt               asyoulikeit.txt             0.00065                     0.00170                     
henryviii.txt               troilus_cressida.txt        0.00076                     0.00226                     
henryviii.txt               taming_shrew.txt            0.00069                     0.00179                     
henryviii.txt               coriolanus.txt              0.00075                     0.00217                     
henryviii.txt               two_gentlemen.txt           0.00059                     0.00138                     
henryviii.txt               cleopatra.txt               0.00072                     0.00211                     
henryviii.txt               pericles.txt                0.00063                     0.00162                     
henryviii.txt               richardiii.txt              0.00074                     0.00210                     
henryviii.txt               timon.txt                   0.00085                     0.00493                     
henryviii.txt               lll.txt                     0.00071                     0.00182                     
henryviii.txt               comedy_errors.txt           0.00055                     0.00121                     
henryviii.txt               richardii.txt               0.00069                     0.00183                     
henryviii.txt               julius_caesar.txt           0.00064                     0.00157                     
henryviii.txt               allswell.txt                0.00074                     0.00190                     
henryviii.txt               winters_tale.txt            0.00071                     0.00195                     
henryviii.txt               1henryvi.txt                0.00070                     0.00191                     
henryviii.txt               tempest.txt                 0.00070                     0.00166                     
henryviii.txt               cymbeline.txt               0.00078                     0.00246                     
henryviii.txt               othello.txt                 0.00073                     0.00229                     
henryviii.txt               titus.txt                   0.00063                     0.00164                     
henryviii.txt               much_ado.txt                0.00059                     0.00145                     
henryviii.txt               1henryiv.txt                0.00068                     0.00183                     
henryviii.txt               merchant.txt                0.00062                     0.00153                     
henryviii.txt               macbeth.txt                 0.00062                     0.00155                     
henryviii.txt               john.txt                    0.00065                     0.00171                     
henryviii.txt               2henryvi.txt                0.00070                     0.00199                     
henryviii.txt               2henryiv.txt                0.00077                     0.00230                     
